Intervention,R,ME,VT,WTS,FF,BR,MR,WXA,MS2,BFS
NL,"-0.74 (-3.25 , 1.78)","-0.04 (-1.46 , 1.39)","0.39 (-1.17 , 1.96)","0.72 (-1.76 , 3.19)","0.28 (-1.15 , 1.7)","-0.97 (-2.92 , 0.98)","0.8 (-2.9 , 4.5)","0.49 (-2 , 2.98)","0.7 (-1.11 , 2.51)","0.73 (-0.78 , 2.24)"
R,NA,"0.7 (-0.84 , 2.24)","1.13 (-1.58 , 3.84)","1.45 (0.07 , 2.84)","1.01 (-0.64 , 2.67)","-0.23 (-3.92 , 3.45)","1.54 (-0.51 , 3.58)","1.23 (-0.14 , 2.59)","1.43 (-1.05 , 3.91)","1.47 (-0.21 , 3.14)"
ME,NA,NA,"0.43 (-1.32 , 2.18)","0.75 (-0.8 , 2.31)","0.32 (-0.5 , 1.13)","-0.93 (-3.58 , 1.72)","0.84 (-1.79 , 3.47)","0.53 (-1.07 , 2.13)","0.74 (-0.75 , 2.22)","0.77 (-0.17 , 1.72)"
VT,NA,NA,NA,"0.32 (-2.17 , 2.81)","-0.12 (-1.56 , 1.32)","-1.36 (-3.38 , 0.66)","0.4 (-3.41 , 4.22)","0.09 (-2.67 , 2.86)","0.3 (-1.48 , 2.09)","0.34 (-1.29 , 1.96)"
WTS,NA,NA,NA,NA,"-0.44 (-2.03 , 1.15)","-1.68 (-5.35 , 1.98)","0.08 (-1.99 , 2.16)","-0.23 (-1.32 , 0.87)","-0.02 (-2.15 , 2.11)","0.02 (-1.52 , 1.56)"
FF,NA,NA,NA,NA,NA,"-1.24 (-3.86 , 1.37)","0.52 (-2.23 , 3.28)","0.21 (-1.53 , 1.96)","0.42 (-0.95 , 1.8)","0.46 (-0.51 , 1.42)"
BR,NA,NA,NA,NA,NA,NA,"1.77 (-3.41 , 6.94)","1.46 (-2.25 , 5.16)","1.66 (-1.17 , 4.5)","1.7 (-1.17 , 4.57)"
MR,NA,NA,NA,NA,NA,NA,NA,"-0.31 (-2.32 , 1.7)","-0.1 (-3.12 , 2.92)","-0.07 (-2.67 , 2.53)"
WXA,NA,NA,NA,NA,NA,NA,NA,NA,"0.21 (-1.96 , 2.38)","0.24 (-1.42 , 1.9)"
MS2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.03 (-1.41 , 1.48)"
