Intervention,R,ME,VT,WTS,FF,BR,MR,WXA,MS2,BFS
NL,"-0.71 (-3.78 , 2.36)","0.16 (-1.55 , 1.86)","0.23 (-1.62 , 2.08)","0.68 (-2.31 , 3.68)","0.22 (-1.48 , 1.91)","-0.92 (-3.43 , 1.59)","0.91 (-3.65 , 5.48)","0.5 (-2.56 , 3.56)","0.69 (-1.5 , 2.87)","0.68 (-1.3 , 2.66)"
R,NA,"0.87 (-0.98 , 2.72)","0.94 (-2.26 , 4.14)","1.39 (-0.28 , 3.07)","0.92 (-1 , 2.85)","-0.21 (-4.74 , 4.31)","1.62 (-0.99 , 4.23)","1.21 (-0.51 , 2.92)","1.39 (-1.6 , 4.38)","1.38 (-0.76 , 3.53)"
ME,NA,NA,"0.07 (-1.84 , 1.98)","0.53 (-1.27 , 2.32)","0.06 (-0.67 , 0.79)","-1.08 (-4.34 , 2.18)","0.76 (-2.53 , 4.05)","0.34 (-1.6 , 2.28)","0.53 (-1.17 , 2.23)","0.52 (-0.79 , 1.82)"
VT,NA,NA,NA,"0.45 (-2.5 , 3.41)","-0.01 (-1.72 , 1.69)","-1.15 (-3.71 , 1.41)","0.68 (-3.94 , 5.31)","0.27 (-3.04 , 3.57)","0.45 (-1.73 , 2.64)","0.45 (-1.57 , 2.47)"
WTS,NA,NA,NA,NA,"-0.47 (-2.3 , 1.37)","-1.61 (-6.11 , 2.9)","0.23 (-2.42 , 2.88)","-0.19 (-1.59 , 1.22)","0 (-2.6 , 2.6)","-0.01 (-1.98 , 1.97)"
FF,NA,NA,NA,NA,NA,"-1.14 (-4.38 , 2.1)","0.7 (-2.68 , 4.07)","0.28 (-1.77 , 2.33)","0.47 (-1.16 , 2.1)","0.46 (-0.86 , 1.78)"
BR,NA,NA,NA,NA,NA,NA,"1.84 (-4.63 , 8.3)","1.42 (-3.15 , 5.99)","1.61 (-1.94 , 5.16)","1.6 (-2.17 , 5.37)"
MR,NA,NA,NA,NA,NA,NA,NA,"-0.42 (-3.02 , 2.18)","-0.23 (-3.96 , 3.5)","-0.24 (-3.41 , 2.94)"
WXA,NA,NA,NA,NA,NA,NA,NA,NA,"0.19 (-2.47 , 2.85)","0.18 (-1.99 , 2.35)"
MS2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.01 (-1.9 , 1.88)"
