Intervention,R,ME,VT,WTS,FF,BR,MR,WXA,MS2,BFS
NL,"-0.21 (-0.68 , 0.25)","-0.17 (-0.77 , 0.44)","-0.25 (-0.66 , 0.17)","-0.02 (-0.48 , 0.44)","-0.33 (-0.78 , 0.11)","-0.2 (-0.66 , 0.26)","-0.24 (-0.63 , 0.16)","-0.48 (-0.94 , -0.02)","-0.29 (-0.67 , 0.09)","-0.35 (-0.75 , 0.06)"
R,NA,"0.04 (-0.44 , 0.53)","-0.03 (-0.33 , 0.26)","0.19 (-0.13 , 0.51)","-0.12 (-0.32 , 0.08)","0.02 (-0.29 , 0.32)","-0.03 (-0.32 , 0.27)","-0.27 (-0.62 , 0.09)","-0.08 (-0.34 , 0.18)","-0.13 (-0.45 , 0.18)"
ME,NA,NA,"-0.08 (-0.56 , 0.4)","0.15 (-0.37 , 0.67)","-0.17 (-0.65 , 0.32)","-0.03 (-0.52 , 0.46)","-0.07 (-0.57 , 0.43)","-0.31 (-0.88 , 0.25)","-0.12 (-0.61 , 0.36)","-0.18 (-0.68 , 0.32)"
VT,NA,NA,NA,"0.23 (-0.08 , 0.54)","-0.09 (-0.3 , 0.12)","0.05 (-0.15 , 0.24)","0.01 (-0.25 , 0.26)","-0.23 (-0.64 , 0.17)","-0.05 (-0.28 , 0.18)","-0.1 (-0.36 , 0.16)"
WTS,NA,NA,NA,NA,"-0.31 (-0.61 , -0.02)","-0.18 (-0.47 , 0.11)","-0.22 (-0.56 , 0.12)","-0.46 (-0.92 , -0.01)","-0.27 (-0.55 , 0.01)","-0.33 (-0.59 , -0.07)"
FF,NA,NA,NA,NA,NA,"0.14 (-0.13 , 0.4)","0.09 (-0.17 , 0.35)","-0.15 (-0.5 , 0.2)","0.04 (-0.19 , 0.27)","-0.01 (-0.28 , 0.26)"
BR,NA,NA,NA,NA,NA,NA,"-0.04 (-0.36 , 0.27)","-0.28 (-0.72 , 0.15)","-0.1 (-0.34 , 0.15)","-0.15 (-0.42 , 0.13)"
MR,NA,NA,NA,NA,NA,NA,NA,"-0.24 (-0.55 , 0.07)","-0.05 (-0.27 , 0.16)","-0.11 (-0.31 , 0.1)"
WXA,NA,NA,NA,NA,NA,NA,NA,NA,"0.19 (-0.16 , 0.53)","0.13 (-0.2 , 0.47)"
MS2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.05 (-0.25 , 0.14)"
