Intervention,R,ME,VT,WTS,FF,BR,MR,WXA,MS2,BFS
NL,"-0.23 (-0.71 , 0.24)","-0.19 (-0.8 , 0.43)","-0.27 (-0.7 , 0.16)","-0.04 (-0.51 , 0.43)","-0.36 (-0.81 , 0.1)","-0.23 (-0.71 , 0.25)","-0.23 (-0.64 , 0.17)","-0.47 (-0.94 , 0)","-0.32 (-0.71 , 0.07)","-0.37 (-0.79 , 0.05)"
R,NA,"0.05 (-0.45 , 0.55)","-0.04 (-0.34 , 0.27)","0.19 (-0.13 , 0.52)","-0.12 (-0.33 , 0.09)","0.01 (-0.31 , 0.32)","0 (-0.3 , 0.3)","-0.24 (-0.6 , 0.13)","-0.09 (-0.36 , 0.18)","-0.14 (-0.46 , 0.19)"
ME,NA,NA,"-0.08 (-0.58 , 0.41)","0.14 (-0.39 , 0.67)","-0.17 (-0.66 , 0.32)","-0.04 (-0.54 , 0.46)","-0.05 (-0.56 , 0.46)","-0.29 (-0.86 , 0.29)","-0.14 (-0.63 , 0.36)","-0.19 (-0.7 , 0.32)"
VT,NA,NA,NA,"0.23 (-0.09 , 0.55)","-0.09 (-0.31 , 0.13)","0.04 (-0.16 , 0.25)","0.04 (-0.23 , 0.31)","-0.2 (-0.62 , 0.22)","-0.05 (-0.3 , 0.19)","-0.1 (-0.37 , 0.17)"
WTS,NA,NA,NA,NA,"-0.31 (-0.62 , -0.01)","-0.19 (-0.48 , 0.11)","-0.19 (-0.54 , 0.16)","-0.43 (-0.9 , 0.04)","-0.28 (-0.57 , 0.01)","-0.33 (-0.6 , -0.06)"
FF,NA,NA,NA,NA,NA,"0.13 (-0.14 , 0.4)","0.12 (-0.15 , 0.39)","-0.12 (-0.48 , 0.25)","0.03 (-0.21 , 0.27)","-0.01 (-0.29 , 0.26)"
BR,NA,NA,NA,NA,NA,NA,"0 (-0.33 , 0.32)","-0.24 (-0.7 , 0.21)","-0.09 (-0.35 , 0.16)","-0.14 (-0.43 , 0.14)"
MR,NA,NA,NA,NA,NA,NA,NA,"-0.24 (-0.55 , 0.08)","-0.09 (-0.31 , 0.13)","-0.14 (-0.35 , 0.08)"
WXA,NA,NA,NA,NA,NA,NA,NA,NA,"0.15 (-0.21 , 0.5)","0.1 (-0.25 , 0.45)"
MS2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.05 (-0.25 , 0.15)"
