Intervention,NL.R,NL.R.ME.VT.WTS.FF.BR.MR.MS2,NL.R.ME.VT.WTS.FF.MS2,NL.R.ME.VT.WTS.MS2,NL.R.VT.FF.WXA.MS2,NL.R.VT.WTS.BR.MR.MS2,NL.R.VT.WTS.FF.BR.MR.MS2,NL.R.VT.WTS.FF.BR.MR.MS2.BFS,NL.R.VT.WTS.MS2,R.ME.VT.MS2,R.MS2,R.VT,R.WTS.FF.BR.MS2.BFS,WTS.FF
ME.VT.WXA,"-1.91 (-4.19 , 0.38)","-0.61 (-2.31 , 1.08)","-0.28 (-2.09 , 1.52)","-0.45 (-2.43 , 1.53)","0 (-1.97 , 1.97)","-0.68 (-2.23 , 0.86)","-0.76 (-2.29 , 0.76)","-0.4 (-2.13 , 1.34)","0.28 (-1.75 , 2.31)","-1.45 (-3.54 , 0.63)","0.21 (-2.03 , 2.45)","0.17 (-1.93 , 2.27)","-0.68 (-2.74 , 1.39)","0.31 (-2.02 , 2.65)"
NL.R,NA,"1.29 (-0.67 , 3.26)","1.62 (-0.44 , 3.69)","1.46 (-0.77 , 3.68)","1.9 (-0.31 , 4.11)","1.22 (-0.62 , 3.06)","1.14 (-0.68 , 2.97)","1.51 (-0.5 , 3.52)","2.19 (-0.07 , 4.45)","0.45 (-1.86 , 2.77)","2.12 (-0.33 , 4.57)","2.08 (-0.25 , 4.4)","1.23 (-1.07 , 3.52)","2.22 (-0.32 , 4.76)"
NL.R.ME.VT.WTS.FF.BR.MR.MS2,NA,NA,"0.33 (-1.05 , 1.71)","0.16 (-1.44 , 1.77)","0.61 (-0.97 , 2.2)","-0.07 (-0.96 , 0.82)","-0.15 (-0.8 , 0.5)","0.22 (-1.07 , 1.51)","0.9 (-0.76 , 2.56)","-0.84 (-2.57 , 0.89)","0.83 (-1.08 , 2.74)","0.78 (-0.96 , 2.53)","-0.06 (-1.77 , 1.64)","0.93 (-1.1 , 2.95)"
NL.R.ME.VT.WTS.FF.MS2,NA,NA,NA,"-0.17 (-1.89 , 1.56)","0.28 (-1.43 , 1.99)","-0.4 (-1.59 , 0.79)","-0.48 (-1.65 , 0.69)","-0.11 (-1.55 , 1.32)","0.56 (-1.21 , 2.34)","-1.17 (-3.01 , 0.67)","0.5 (-1.52 , 2.51)","0.45 (-1.41 , 2.31)","-0.39 (-2.21 , 1.42)","0.59 (-1.53 , 2.71)"
NL.R.ME.VT.WTS.MS2,NA,NA,NA,NA,"0.45 (-1.45 , 2.34)","-0.23 (-1.68 , 1.21)","-0.31 (-1.74 , 1.11)","0.05 (-1.6 , 1.71)","0.73 (-1.22 , 2.69)","-1 (-3.02 , 1.01)","0.66 (-1.51 , 2.84)","0.62 (-1.41 , 2.65)","-0.23 (-2.22 , 1.77)","0.76 (-1.51 , 3.03)"
NL.R.VT.FF.WXA.MS2,NA,NA,NA,NA,NA,"-0.68 (-2.11 , 0.75)","-0.76 (-2.17 , 0.65)","-0.4 (-2.03 , 1.24)","0.28 (-1.66 , 2.23)","-1.45 (-3.46 , 0.55)","0.22 (-1.95 , 2.38)","0.17 (-1.85 , 2.19)","-0.68 (-2.65 , 1.3)","0.31 (-1.95 , 2.57)"
NL.R.VT.WTS.BR.MR.MS2,NA,NA,NA,NA,NA,NA,"-0.08 (-0.63 , 0.47)","0.29 (-0.8 , 1.37)","0.97 (-0.54 , 2.47)","-0.77 (-2.36 , 0.82)","0.9 (-0.89 , 2.68)","0.85 (-0.75 , 2.46)","0.01 (-1.55 , 1.56)","0.99 (-0.91 , 2.89)"
NL.R.VT.WTS.FF.BR.MR.MS2,NA,NA,NA,NA,NA,NA,NA,"0.37 (-0.69 , 1.42)","1.04 (-0.44 , 2.53)","-0.69 (-2.26 , 0.88)","0.98 (-0.79 , 2.74)","0.93 (-0.65 , 2.52)","0.09 (-1.45 , 1.62)","1.07 (-0.81 , 2.96)"
NL.R.VT.WTS.FF.BR.MR.MS2.BFS,NA,NA,NA,NA,NA,NA,NA,NA,"0.68 (-1.03 , 2.39)","-1.06 (-2.83 , 0.72)","0.61 (-1.34 , 2.56)","0.57 (-1.23 , 2.36)","-0.28 (-2.03 , 1.47)","0.71 (-1.35 , 2.77)"
NL.R.VT.WTS.MS2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.74 (-3.8 , 0.33)","-0.07 (-2.28 , 2.15)","-0.11 (-2.19 , 1.96)","-0.96 (-3 , 1.08)","0.03 (-2.28 , 2.34)"
R.ME.VT.MS2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.67 (-0.6 , 3.94)","1.62 (-0.51 , 3.76)","0.78 (-1.32 , 2.87)","1.76 (-0.6 , 4.13)"
R.MS2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.04 (-2.33 , 2.24)","-0.89 (-3.14 , 1.36)","0.1 (-2.4 , 2.6)"
R.VT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.85 (-2.96 , 1.26)","0.14 (-2.23 , 2.52)"
R.WTS.FF.BR.MS2.BFS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.99 (-1.36 , 3.33)"
