Intervention,BR.MR.MS2,FF,FF.BR.MS2.BFS,FF.MR,FF.MR.BFS,FF.MR.MS2,FF.MS2.BFS,ME.FF.MS2.BFS,NL.R.FF.BR.BFS,R.BFS,R.BR.BFS,R.BR.MR,R.BR.MR.BFS,R.FF.BFS,R.FF.BR.BFS,R.FF.BR.MR.BFS,R.FF.BR.MS2.BFS,R.FF.MR.MS2,R.MS2,R.VT.BFS,R.VT.BR.WXA.MS2,R.VT.FF.BR.MR.BFS,R.VT.FF.BR.MR.MS2.BFS,R.VT.FF.BR.MS2.BFS,R.VT.FF.BR.WXA.MS2.BFS,R.VT.FF.MS2.BFS,R.VT.MS2,R.VT.MS2.BFS,R.VT.WTS.FF.BR.MR.MS2,R.VT.WTS.FF.BR.WXA.MS2.BFS,R.VT.WTS.MR.MS2,R.WTS.FF.BR.BFS,VT,VT.MS2
BR.MR,"-0.74 (-1.19 , -0.29)","-0.43 (-1.29 , 0.43)","-0.13 (-1.09 , 0.83)","0.09 (-0.84 , 1.03)","-0.07 (-1.13 , 0.98)","-0.04 (-1.12 , 1.03)","0.14 (-0.84 , 1.11)","0.07 (-0.94 , 1.08)","0.1 (-0.83 , 1.03)","-0.7 (-1.38 , -0.02)","-0.31 (-0.97 , 0.35)","-0.35 (-1.04 , 0.34)","-0.27 (-0.92 , 0.38)","-0.42 (-1.39 , 0.55)","-0.1 (-1.06 , 0.87)","-0.1 (-1.01 , 0.81)","-0.17 (-1.1 , 0.76)","0.03 (-0.94 , 1.01)","-0.28 (-0.99 , 0.44)","-0.06 (-0.71 , 0.6)","-0.21 (-0.94 , 0.52)","0.45 (-0.53 , 1.44)","-0.02 (-0.97 , 0.94)","-0.02 (-0.98 , 0.94)","0.02 (-0.96 , 0.99)","-0.19 (-1.18 , 0.79)","0.21 (-0.52 , 0.94)","-0.03 (-0.7 , 0.64)","0.4 (-0.57 , 1.37)","-0.2 (-1.18 , 0.77)","0.17 (-0.54 , 0.88)","0.22 (-0.84 , 1.29)","-0.36 (-1 , 0.28)","0.09 (-0.64 , 0.82)"
BR.MR.MS2,NA,"0.31 (-0.45 , 1.07)","0.61 (-0.26 , 1.48)","0.84 (0 , 1.68)","0.67 (-0.3 , 1.64)","0.7 (-0.29 , 1.69)","0.88 (-0.01 , 1.77)","0.81 (-0.11 , 1.74)","0.84 (0.01 , 1.68)","0.05 (-0.5 , 0.59)","0.43 (-0.08 , 0.95)","0.39 (-0.16 , 0.95)","0.47 (-0.03 , 0.98)","0.32 (-0.55 , 1.2)","0.64 (-0.23 , 1.52)","0.65 (-0.17 , 1.46)","0.57 (-0.27 , 1.4)","0.77 (-0.11 , 1.66)","0.46 (-0.12 , 1.05)","0.68 (0.17 , 1.2)","0.53 (-0.07 , 1.13)","1.19 (0.3 , 2.09)","0.72 (-0.14 , 1.59)","0.72 (-0.15 , 1.59)","0.76 (-0.13 , 1.65)","0.55 (-0.35 , 1.45)","0.95 (0.35 , 1.56)","0.71 (0.18 , 1.25)","1.14 (0.26 , 2.02)","0.54 (-0.35 , 1.42)","0.91 (0.33 , 1.49)","0.96 (-0.02 , 1.95)","0.38 (-0.11 , 0.87)","0.83 (0.22 , 1.44)"
FF,NA,NA,"0.3 (-1.03 , 1.63)","0.53 (-0.78 , 1.84)","0.36 (-1.04 , 1.75)","0.39 (-1.02 , 1.8)","0.57 (-0.77 , 1.91)","0.5 (-0.86 , 1.87)","0.53 (-0.77 , 1.84)","-0.26 (-0.98 , 0.45)","0.13 (-0.57 , 0.82)","0.09 (-0.64 , 0.81)","0.16 (-0.53 , 0.86)","0.01 (-1.32 , 1.35)","0.34 (-1 , 1.67)","0.34 (-0.96 , 1.63)","0.26 (-1.05 , 1.57)","0.47 (-0.87 , 1.8)","0.15 (-0.6 , 0.9)","0.37 (-0.29 , 1.04)","0.22 (-0.54 , 0.98)","0.88 (-0.46 , 2.23)","0.41 (-0.91 , 1.74)","0.41 (-0.92 , 1.74)","0.45 (-0.89 , 1.79)","0.24 (-1.11 , 1.59)","0.65 (-0.12 , 1.41)","0.4 (-0.3 , 1.11)","0.83 (-0.5 , 2.17)","0.23 (-1.11 , 1.57)","0.6 (-0.14 , 1.34)","0.65 (-0.75 , 2.06)","0.07 (-0.61 , 0.75)","0.52 (-0.25 , 1.29)"
FF.BR.MS2.BFS,NA,NA,NA,"0.23 (-0.33 , 0.79)","0.06 (-0.69 , 0.8)","0.09 (-0.68 , 0.86)","0.27 (-0.36 , 0.9)","0.2 (-0.48 , 0.89)","0.23 (-0.32 , 0.78)","-0.56 (-1.4 , 0.27)","-0.18 (-0.99 , 0.64)","-0.22 (-1.06 , 0.63)","-0.14 (-0.95 , 0.67)","-0.29 (-0.9 , 0.33)","0.03 (-0.58 , 0.65)","0.04 (-0.48 , 0.56)","-0.04 (-0.59 , 0.51)","0.17 (-0.46 , 0.79)","-0.15 (-1.01 , 0.71)","0.07 (-0.76 , 0.91)","-0.08 (-0.95 , 0.79)","0.58 (0.03 , 1.14)","0.11 (-0.48 , 0.71)","0.11 (-0.49 , 0.72)","0.15 (-0.48 , 0.78)","-0.06 (-0.71 , 0.58)","0.34 (-0.53 , 1.22)","0.1 (-0.72 , 0.93)","0.53 (-0.08 , 1.15)","-0.07 (-0.7 , 0.55)","0.3 (-0.56 , 1.16)","0.35 (-0.4 , 1.11)","-0.23 (-1.03 , 0.57)","0.22 (-0.66 , 1.1)"
FF.MR,NA,NA,NA,NA,"-0.17 (-0.76 , 0.43)","-0.14 (-0.88 , 0.6)","0.04 (-0.55 , 0.63)","-0.02 (-0.67 , 0.62)","0.01 (-0.5 , 0.51)","-0.79 (-1.59 , 0.01)","-0.4 (-1.19 , 0.39)","-0.44 (-1.26 , 0.37)","-0.36 (-1.14 , 0.42)","-0.51 (-1.09 , 0.06)","-0.19 (-0.77 , 0.38)","-0.19 (-0.66 , 0.28)","-0.27 (-0.78 , 0.24)","-0.06 (-0.54 , 0.42)","-0.37 (-1.21 , 0.46)","-0.15 (-0.96 , 0.65)","-0.31 (-1.15 , 0.54)","0.36 (-0.25 , 0.96)","-0.11 (-0.66 , 0.44)","-0.11 (-0.68 , 0.45)","-0.08 (-0.67 , 0.51)","-0.29 (-0.89 , 0.32)","0.12 (-0.73 , 0.96)","-0.12 (-0.92 , 0.68)","0.31 (-0.27 , 0.88)","-0.3 (-0.88 , 0.29)","0.07 (-0.76 , 0.9)","0.13 (-0.6 , 0.85)","-0.46 (-1.23 , 0.32)","-0.01 (-0.86 , 0.84)"
FF.MR.BFS,NA,NA,NA,NA,NA,"0.03 (-0.85 , 0.91)","0.21 (-0.55 , 0.98)","0.15 (-0.66 , 0.96)","0.18 (-0.53 , 0.88)","-0.62 (-1.56 , 0.32)","-0.23 (-1.16 , 0.69)","-0.27 (-1.22 , 0.68)","-0.19 (-1.11 , 0.73)","-0.34 (-1.1 , 0.41)","-0.02 (-0.78 , 0.73)","-0.02 (-0.7 , 0.66)","-0.1 (-0.8 , 0.61)","0.11 (-0.61 , 0.83)","-0.2 (-1.17 , 0.76)","0.02 (-0.92 , 0.96)","-0.14 (-1.11 , 0.84)","0.53 (-0.25 , 1.3)","0.06 (-0.68 , 0.79)","0.05 (-0.69 , 0.8)","0.09 (-0.67 , 0.86)","-0.12 (-0.9 , 0.66)","0.29 (-0.69 , 1.26)","0.05 (-0.89 , 0.98)","0.47 (-0.28 , 1.23)","-0.13 (-0.89 , 0.63)","0.24 (-0.72 , 1.2)","0.3 (-0.58 , 1.17)","-0.29 (-1.2 , 0.63)","0.16 (-0.82 , 1.14)"
FF.MR.MS2,NA,NA,NA,NA,NA,NA,"0.18 (-0.61 , 0.97)","0.12 (-0.72 , 0.95)","0.15 (-0.58 , 0.87)","-0.65 (-1.61 , 0.31)","-0.26 (-1.21 , 0.68)","-0.3 (-1.27 , 0.67)","-0.22 (-1.16 , 0.72)","-0.38 (-1.15 , 0.4)","-0.05 (-0.83 , 0.73)","-0.05 (-0.76 , 0.65)","-0.13 (-0.86 , 0.6)","0.08 (-0.71 , 0.87)","-0.23 (-1.22 , 0.75)","-0.01 (-0.98 , 0.95)","-0.17 (-1.16 , 0.83)","0.5 (-0.3 , 1.29)","0.03 (-0.73 , 0.79)","0.02 (-0.75 , 0.79)","0.06 (-0.73 , 0.85)","-0.15 (-0.95 , 0.65)","0.26 (-0.74 , 1.25)","0.02 (-0.94 , 0.97)","0.44 (-0.34 , 1.22)","-0.16 (-0.95 , 0.62)","0.21 (-0.77 , 1.19)","0.27 (-0.63 , 1.16)","-0.32 (-1.25 , 0.62)","0.13 (-0.87 , 1.13)"
FF.MS2.BFS,NA,NA,NA,NA,NA,NA,NA,"-0.06 (-0.53 , 0.4)","-0.04 (-0.62 , 0.55)","-0.83 (-1.69 , 0.02)","-0.44 (-1.28 , 0.39)","-0.48 (-1.35 , 0.38)","-0.4 (-1.24 , 0.43)","-0.56 (-1.2 , 0.09)","-0.23 (-0.88 , 0.41)","-0.23 (-0.79 , 0.32)","-0.31 (-0.89 , 0.28)","-0.1 (-0.76 , 0.55)","-0.42 (-1.3 , 0.47)","-0.19 (-1.05 , 0.66)","-0.35 (-1.24 , 0.54)","0.32 (-0.35 , 0.98)","-0.15 (-0.78 , 0.47)","-0.16 (-0.79 , 0.48)","-0.12 (-0.78 , 0.54)","-0.33 (-1 , 0.34)","0.08 (-0.82 , 0.97)","-0.16 (-1.01 , 0.68)","0.26 (-0.38 , 0.91)","-0.34 (-0.99 , 0.31)","0.03 (-0.85 , 0.91)","0.09 (-0.7 , 0.87)","-0.5 (-1.32 , 0.33)","-0.05 (-0.94 , 0.85)"
ME.FF.MS2.BFS,NA,NA,NA,NA,NA,NA,NA,NA,"0.03 (-0.61 , 0.67)","-0.77 (-1.66 , 0.12)","-0.38 (-1.26 , 0.5)","-0.42 (-1.32 , 0.48)","-0.34 (-1.21 , 0.53)","-0.49 (-1.18 , 0.2)","-0.17 (-0.86 , 0.52)","-0.17 (-0.78 , 0.44)","-0.24 (-0.88 , 0.4)","-0.04 (-0.74 , 0.67)","-0.35 (-1.27 , 0.57)","-0.13 (-1.02 , 0.76)","-0.28 (-1.22 , 0.65)","0.38 (-0.34 , 1.1)","-0.09 (-0.76 , 0.58)","-0.09 (-0.78 , 0.59)","-0.06 (-0.76 , 0.65)","-0.27 (-0.99 , 0.45)","0.14 (-0.79 , 1.07)","-0.1 (-0.99 , 0.79)","0.33 (-0.37 , 1.02)","-0.28 (-0.98 , 0.42)","0.1 (-0.82 , 1.01)","0.15 (-0.67 , 0.97)","-0.43 (-1.3 , 0.43)","0.02 (-0.92 , 0.95)"
NL.R.FF.BR.BFS,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.8 (-1.59 , 0)","-0.41 (-1.19 , 0.37)","-0.45 (-1.25 , 0.36)","-0.37 (-1.14 , 0.4)","-0.52 (-1.08 , 0.04)","-0.2 (-0.76 , 0.37)","-0.2 (-0.66 , 0.26)","-0.27 (-0.74 , 0.19)","-0.07 (-0.65 , 0.51)","-0.38 (-1.21 , 0.45)","-0.16 (-0.96 , 0.64)","-0.31 (-1.15 , 0.53)","0.35 (-0.24 , 0.94)","-0.12 (-0.66 , 0.42)","-0.12 (-0.68 , 0.43)","-0.08 (-0.67 , 0.5)","-0.3 (-0.89 , 0.3)","0.11 (-0.73 , 0.95)","-0.13 (-0.92 , 0.66)","0.3 (-0.27 , 0.86)","-0.31 (-0.85 , 0.24)","0.07 (-0.76 , 0.89)","0.12 (-0.6 , 0.84)","-0.46 (-1.22 , 0.3)","-0.01 (-0.85 , 0.83)"
